"Name";"ModId";"Version";"Type";"InternalCategory";"GOC";"FileId";"FileName";"FilePath";"PrevisouFileName";"FileDate";"FileLength";"DownloadUrl";"GameVersion";"Dependencies";"Copy";"Add";"Update"
"AdvancementInfo";"403815";"0.53.3-1.3.1";"Mods";;"True";"3828517";"advancementinfo-1.19-fabric0.53.3-1.3.1.jar";"E:\Games\Minecraft\#Setup_Minecraft\1.19.0\Mods\advancementinfo-1.19-fabric0.53.3-1.3.1.jar";;"12/06/2022 04:57:16";"1442872";"https://edge.forgecdn.net/files/3828/517/advancementinfo-1.19-fabric0.53.3-1.3.1.jar";"1.19";;"True";"True";"True"
"Advancements Enlarger";"355583";"0.2.4";"Mods";;"True";"3329360";"advancements-enlarger-0.2.4.jar";"E:\Games\Minecraft\#Setup_Minecraft\1.19.0\Mods\advancements-enlarger-0.2.4.jar";;"29/05/2021 13:45:15";"57670";"https://edge.forgecdn.net/files/3329/360/advancements-enlarger-0.2.4.jar";"1.19";"Roughly Enough Items(Tool)/Fabric API(Required Dependency)";"True";"True";"True"
"AppleSkin";"248787";"2.4.0";"Mods";;"False";"3821727";"appleskin-fabric-mc1.19-2.4.0.jar";"E:\Games\Minecraft\#Setup_Minecraft\1.19.0\Mods\appleskin-fabric-mc1.19-2.4.0.jar";;"08/06/2022 00:01:12";"1040425";"https://edge.forgecdn.net/files/3821/727/appleskin-fabric-mc1.19-2.4.0.jar";"1.19";"Fabric API(Required Dependency)";"True";"True";"True"
"Architectury API";"419699";"5.9.31";"Mods";;"True";"3875225";"architectury-5.9.31-fabric.jar";"E:\Games\Minecraft\#Setup_Minecraft\1.19.0\Mods\architectury-5.9.31-fabric.jar";;"14/07/2022 14:12:30";"551652";"https://edge.forgecdn.net/files/3875/225/architectury-5.9.31-fabric.jar";"1.19";"Fabric API(Required Dependency)";"True";"True";"True"
"Atmosfera";"338456";;"Mods";;"False";;;;;;;;;;"True";;
"Bad Packets";"615134";"0.1.2";"Mods";;"False";"3773641";"badpackets-fabric-0.1.2.jar";"E:\Games\Minecraft\#Setup_Minecraft\1.19.0\Mods\badpackets-fabric-0.1.2.jar";;"30/04/2022 10:44:20";"25470";"https://edge.forgecdn.net/files/3773/641/badpackets-fabric-0.1.2.jar";"1.19";;"True";"True";"True"
"Better Birch Leaves Add-on";"514560";;"Ressources";;"True";;;;;;;;;;"True";;
"Better Dropped Items";"350250";"1.4.1";"Mods";;"False";"3876302";"betterdroppeditems-1.4.1-1.19.jar";"E:\Games\Minecraft\#Setup_Minecraft\1.19.0\Mods\betterdroppeditems-1.4.1-1.19.jar";;"15/07/2022 03:47:13";"50163";"https://edge.forgecdn.net/files/3876/302/betterdroppeditems-1.4.1-1.19.jar";"1.19";;"True";"True";"True"
"Better Spruce Leaves Add-on";"514567";;"Ressources";;"True";;;;;;;;;;"True";;
"Better Third Person";"435044";"1.8.1";"Mods";;"True";"3834421";"BetterThirdPerson-Fabric-1.19-1.8.1.jar";"E:\Games\Minecraft\#Setup_Minecraft\1.19.0\Mods\BetterThirdPerson-Fabric-1.19-1.8.1.jar";;"16/06/2022 11:18:37";"45804";"https://edge.forgecdn.net/files/3834/421/BetterThirdPerson-Fabric-1.19-1.8.1.jar";"1.19";;"True";"True";"True"
