"Name";"ModId";"Version";"Type";"InternalCategory";"GOC";"FileId";"FileName";"FilePath";"PreviousFileName";"FileDate";"FileLength";"DownloadUrl";"GameVersion";"Dependencies";"Copy";"Add";"Update"
"AdvancementInfo";"403815";"0.53.3-1.3.1";"Mods";;"True";"3828517";"advancementinfo-1.19-fabric0.53.3-1.3.1.jar";"E:\Games\Minecraft\#Setup_Minecraft\1.19.0\Mods\advancementinfo-1.19-fabric0.53.3-1.3.1.jar";;"12/06/2022 04:57:16";"1442872";"https://edge.forgecdn.net/files/3828/517/advancementinfo-1.19-fabric0.53.3-1.3.1.jar";"1.19";;"True";"False";"False"
"Advancements Enlarger";"355583";;"Mods";;"True";;;;;;;;;;"True";"False";"False"
"AppleSkin";"248787";"2.4.1";"Mods";;"False";"3927567";"appleskin-fabric-mc1.19-2.4.1.jar";"E:\Games\Minecraft\#Setup_Minecraft\1.19.0\Mods\appleskin-fabric-mc1.19-2.4.1.jar";;"10/08/2022 07:33:50";"1040951";"https://edge.forgecdn.net/files/3927/567/appleskin-fabric-mc1.19-2.4.1.jar";"1.19";"Fabric API(Required Dependency)";"True";"False";"False"
"Architectury API";"419699";"5.12.42";"Mods";;"True";"3929408";"architectury-5.12.42-fabric.jar";"E:\Games\Minecraft\#Setup_Minecraft\1.19.0\Mods\architectury-5.12.42-fabric.jar";;"11/08/2022 11:11:40";"567573";"https://edge.forgecdn.net/files/3929/408/architectury-5.12.42-fabric.jar";"1.19";"Fabric API(Required Dependency)";"True";"False";"False"
"Atmosfera";"338456";;"Mods";;"False";;;;;;;;;;"True";"False";"False"
"Bad Packets";"615134";"0.1.2";"Mods";;"False";"3773641";"badpackets-fabric-0.1.2.jar";"E:\Games\Minecraft\#Setup_Minecraft\1.19.0\Mods\badpackets-fabric-0.1.2.jar";;"30/04/2022 10:44:20";"25470";"https://edge.forgecdn.net/files/3773/641/badpackets-fabric-0.1.2.jar";"1.19";;"True";"False";"False"
"Better Birch Leaves Add-on";"514560";;"Ressources";;"True";;;;;;;;;;"True";"False";"False"
"Better Dropped Items";"350250";"1.4.1";"Mods";;"False";"3876302";"betterdroppeditems-1.4.1-1.19.jar";"E:\Games\Minecraft\#Setup_Minecraft\1.19.0\Mods\betterdroppeditems-1.4.1-1.19.jar";;"15/07/2022 03:47:13";"50163";"https://edge.forgecdn.net/files/3876/302/betterdroppeditems-1.4.1-1.19.jar";"1.19";;"True";"False";"False"
"Better Spruce Leaves Add-on";"514567";;"Ressources";;"True";;;;;;;;;;"True";"False";"False"
"Better Third Person";"435044";"1.8.1";"Mods";;"True";"3834421";"BetterThirdPerson-Fabric-1.19-1.8.1.jar";"E:\Games\Minecraft\#Setup_Minecraft\1.19.0\Mods\BetterThirdPerson-Fabric-1.19-1.8.1.jar";;"16/06/2022 11:18:37";"45804";"https://edge.forgecdn.net/files/3834/421/BetterThirdPerson-Fabric-1.19-1.8.1.jar";"1.19";;"True";"False";"False"
"BetterF3";"401648";"1.3.2";"Mods";;"True";"3884453";"BetterF3-1.3.2-Fabric-1.19.jar";"E:\Games\Minecraft\#Setup_Minecraft\1.19.0\Mods\BetterF3-1.3.2-Fabric-1.19.jar";;"19/07/2022 08:08:31";"1420841";"https://edge.forgecdn.net/files/3884/453/BetterF3-1.3.2-Fabric-1.19.jar";"1.19";"Cloth Config API(Required Dependency)";"True";"False";"False"
"BSL Shaders";"322506";;"Shaders";;"True";;;;;;;;;;"True";"False";"False"
